,,,,,
State,Active Cases,Cured,Deaths,Total Confirmed cases,
Andaman & Nicobar Islands,5,33,0,38,
Andhra Pradesh,2301,3048,80,5429,
Arunachal Pradesh,57,4,0,61,
Assam,1881,1432,6,3319,
Bihar,2681,3266,36,5983,
Chandigarh,41,286,5,332,
Chhattisgarh,945,447,6,1398,
Delhi,20871,12731,1085,34687,
Goa,350,67,0,417,
Gujarat,5546,15101,1385,22032,
Haryana,3644,2260,64,5968,
Himachal Pradesh,184,280,6,470,
Jammu & Kashmir,2702,1820,52,4574,
Jharkhand,961,630,8,1599,
Karnataka,3196,2977,72,6245,
Kerala,1258,968,18,2244,
Ladakh,80,54,1,135,
Madhya Pradesh,2768,7042,431,10241,
Maharashtra,47980,46078,3590,97648,
Manipur,293,73,0,366,
Meghalaya,25,18,1,44,
Mizoram,101,1,0,102,
Nagaland,106,22,0,128,
Odisha,1023,2354,9,3386,
Puducherry,88,67,2,157,
Punjab,569,2259,59,2887,
Rajasthan,2798,8775,265,11838,
Sikkim,12,2,0,14,
Tamil Nadu,17662,20705,349,38716,
Telengana,2162,1993,165,4320,
Tripura,634,278,1,913,
Uttarakhand,786,842,15,1643,
Uttar Pradesh,4451,7292,345,12088,
West Bengal,5338,3988,442,9768,
,141842,147195,8498,297535,